cod_interno,titulo,precio_base_archivo,precio_lista_firestore,precio_mayorista_old,precio_mayorista_new,precio_negocio_old,precio_negocio_new,precio_persona_natural_old,precio_persona_natural_new,precio_nuevos_old,precio_nuevos_new,es_excepcion_KQ,estado
"ÑX907","Esmalte Tipo 1 1/4 Caoba",11765,11765,15295,15295,15883,15883,16471,16471,17059,17059,NO,sin_cambio_base
"ÑX300","Esmalte Tipo 1 1/4 Blanco",11765,11765,15295,15295,15883,15883,16471,16471,17059,17059,NO,sin_cambio_base
"ÑT500","Esmalte Tipo 1 Tambor Gris",1690000,1690000,2197000,2197000,2281500,2281500,2366000,2366000,2450500,2450500,NO,sin_cambio_base
"ÑG907","Esmalte Tipo 1 Galón Caoba",39916,39916,51891,51891,53887,53887,55882,55882,57878,57878,NO,sin_cambio_base
"ÑG700","Esmalte Tipo 1 Galón Naranja",39916,39916,51891,51891,53887,53887,55882,55882,57878,57878,NO,sin_cambio_base
"ÑG300","Esmalte Tipo 1 Galón Blanco",39916,39916,51891,51891,53887,53887,55882,55882,57878,57878,NO,sin_cambio_base
"ÑC300","Esmalte Tipo 1 Cuñete Blanco",191580,191580,249054,249054,258633,258633,268212,268212,277791,277791,NO,sin_cambio_base
"ZI","Disolvente Alquidico Anticorrosivo-Esmalte 1/2 Botella",2384.8,2385,3101,3100,3220,3219,3339,3339,3458,3458,NO,actualizado
"ZG","Disolvente Alquidico Anticorrosivo-Esmalte Galón",19230.8,19231,25000,25000,25962,25962,26923,26923,27885,27885,NO,actualizado
"ZF","Disolvente Alquidico Anticorrosivo-Esmalte Kilo",4000,4000,5200,5200,5400,5400,5600,5600,5800,5800,NO,sin_cambio_base
"ZE","Disolvente Alquidico Anticorrosivo-Esmalte Botella",4692.4,4692,6100,6100,6334,6335,6569,6569,6803,6804,NO,actualizado
"YW800","Super Tintilla 120 C.C. Violeta",22629.2,22629,29418,29418,30549,30549,31681,31681,32812,32812,NO,actualizado
"YW700","Super Tintilla 120 C.C. Naranja",8080,8080,10504,10504,10908,10908,11312,11312,11716,11716,NO,sin_cambio_base
"YW619","Super Tintilla 120 Cc Verde Tropical",8080,8080,10504,10504,10908,10908,11312,11312,11716,11716,NO,sin_cambio_base
"YW600","Super Tintilla 120 C.C. Verde",8080,8080,10504,10504,10908,10908,11312,11312,11716,11716,NO,sin_cambio_base
"YW400","Super Tintilla 120 C.C. Negro",8080,8080,10504,10504,10908,10908,11312,11312,11716,11716,NO,sin_cambio_base
"YW200","Super Tintilla 120 C.C. Rojo",8080,8080,10504,10504,10908,10908,11312,11312,11716,11716,NO,sin_cambio_base
"YW100","Super Tintilla 120 C.C. Azul",8080,8080,10504,10504,10908,10908,11312,11312,11716,11716,NO,sin_cambio_base
"YW06","Super Tintilla 120 C.C. Ocre",8080,8080,10504,10504,10908,10908,11312,11312,11716,11716,NO,sin_cambio_base
"YW04","Super Tintilla 120 C.C. Amarillo Oro",8080,8080,10504,10504,10908,10908,11312,11312,11716,11716,NO,sin_cambio_base
"YW01","Super Tintilla 120 C.C. Amarillo",8080,8080,10504,10504,10908,10908,11312,11312,11716,11716,NO,sin_cambio_base
"YL800","Super Tintilla 240 C.C. Violeta",41370.8,41371,53782,53782,55851,55851,57919,57919,59988,59988,NO,actualizado
"YL700","Super Tintilla 240 C.C. Naranja",13574.8,13575,17648,17647,18326,18326,19005,19005,19684,19683,NO,actualizado
"YL600","Super Tintilla 240 C.C. Verde",13574.8,13575,17648,17647,18326,18326,19005,19005,19684,19683,NO,actualizado
"YL400","Super Tintilla 240 C.C. Negro",13574.8,13575,17648,17647,18326,18326,19005,19005,19684,19683,NO,actualizado
"YL200","Super Tintilla 240 C.C. Rojo",13574.8,13575,17648,17647,18326,18326,19005,19005,19684,19683,NO,actualizado
"YL100","Super Tintilla 240 C.C. Azul",13574.8,13575,17648,17647,18326,18326,19005,19005,19684,19683,NO,actualizado
"YL06","Super Tintilla 240 C.C. Ocre",13574.8,13575,17648,17647,18326,18326,19005,19005,19684,19683,NO,actualizado
"YL01","Super Tintilla 240 C.C. Amarillo",13574.8,13575,17648,17647,18326,18326,19005,19005,19684,19683,NO,actualizado
"XZ","Estuco Plastico 1/8",2461.6,2462,3201,3200,3324,3323,3447,3446,3570,3569,NO,actualizado
"XX","Estuco Plastico 1/4",2823.2,2823,3670,3670,3811,3811,3952,3952,4093,4094,NO,actualizado
"XJ","Estuco Plastico 1/2 Galón",4314.88,4315,5610,5609,5825,5825,6041,6041,6257,6257,NO,actualizado
"XG1","Estuco Plastico Galón Sin Litografia",7061.81,7062,9181,9180,9534,9533,9887,9887,10240,10240,NO,actualizado
"XG","Estuco Plastico Galón",7730.8,7731,10050,10050,10437,10437,10823,10823,11210,11210,NO,actualizado
"XF","Estuco Plastico Kilo",1400,1400,1820,1820,1890,1890,1960,1960,2030,2030,NO,sin_cambio_base
"XC4.5","Estuco Plastico Cuñete 4.5 Galones",31639,31639,41131,41131,42713,42713,44295,44295,45877,45877,NO,sin_cambio_base
"XC1","Estuco Plastico Cuñete Sin Litografia",26286.9,26287,34173,34173,35487,35487,36802,36802,38116,38116,NO,actualizado
"XC","Estuco Plastico Cuñete 5 Gal",27692.4,27692,36000,36000,37384,37385,38769,38769,40153,40154,NO,actualizado
"XB1","Estuco Plastico 1/2 Cuñete Sin Litografia",15692.57,15693,20401,20400,21186,21185,21970,21970,22755,22754,NO,actualizado
"XB","Estuco Plastico 1/2 Cuñete",15600,15600,20280,20280,21060,21060,21840,21840,22620,22620,NO,sin_cambio_base
"XA","Estuco Plastico Caja",23658.4,23658,30755,30756,31938,31939,33121,33122,34304,34305,NO,actualizado
"WX600","Anticorrosivo 1/4 Verde Cromato Zinc",11088,11088,14414,14414,14969,14969,15523,15523,16078,16078,NO,sin_cambio_base
"WX200","Anticorrosivo 1/4  Rojo Cromato Zinc",10702,10702,13913,13913,14448,14448,14983,14983,15518,15518,NO,sin_cambio_base
"WG600","Anticorrosivo Galón Verde Cromato Zinc",35000,35000,45500,45500,47250,47250,49000,49000,50750,50750,NO,sin_cambio_base
"WG200","Anticorrosivo Galón Rojo Cromato Zinc",31923.2,31923,41500,41500,43096,43096,44692,44692,46288,46289,NO,actualizado
"VX802","Vinilo Tipo 1  Super Lavable   1/4 Lila",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX800","Vinilo Tipo 1  Super Lavable   1/4 Violeta",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX707","Vinilo Tipo 1  Super Lavable   1/4 Pomarosa",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX706","Vinilo Tipo 1  Super Lavable   1/4 Palo De Rosa",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX705","Vinilo Tipo 1  Super Lavable   1/4 Curuba",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX703","Vinilo Tipo 1  Super Lavable   1/4 Mandarina Tropical",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX700","Vinilo Tipo 1  Super Lavable   1/4 Naranja",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX619","Vinilo Tipo 1  Super Lavable   1/4 Verde Tropical",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX616","Vinilo Tipo 1  Super Lavable   1/4 Verde Navidad",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX615","Vinilo Tipo 1  Super Lavable   1/4 Menta Fresca",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX613","Vinilo Tipo 1  Super Lavable   1/4 Verde Turqueza",12787.34,12787,16623,16624,17262,17263,17902,17902,18541,18542,NO,actualizado
"VX611","Vinilo Tipo 1  Super Lavable   1/4 Verde Pìno",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX603","Vinilo Tipo 1  Super Lavable   1/4 Verde Primaveral",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX601","Vinilo Tipo 1  Super Lavable   1/4 Verde Oscuro",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX501","Vinilo Tipo 1  Super Lavable   1/4 Gris Nube",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX400","Vinilo Tipo 1  Super Lavable   1/4 Negro",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX301","Vinilo Tipo 1  Super Lavable   1/4 Blanco Almendra",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX300","Vinilo Tipo 1  Super Lavable   1/4 Blanco",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX204","Vinilo Tipo 1  Super Lavable   1/4 Terracota",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX201","Vinilo Tipo 1  Super Lavable   1/4 Rojo Colonial",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX200","Vinilo  Tipo 1  Super Lavable   1/4 Rojo",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX106","Vinilo Tipo 1  Super Lavable   1/4 Azul Cielo",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX105","Vinilo Tipo 1  Super Lavable   1/4 Azul Porcelana",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX100","Vinilo Tipo 1   Super Lavable  1/4 Azul",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX06","Vinilo Tipo 1  Super Lavable   1/4 Ocre",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX04","Vinilo Tipo 1  Super Lavable   1/4 Amarillo Oro",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"VX01","Vinilo  Tipo 1  Super Lavable   1/4 Amarillo",12787.34,12787,16623,16624,17262,17263,17902,17902,18541,18542,NO,actualizado
"VT300","Vinilo Tipo 1 Super Lavable Tambor Blanco",1215385,1215385,1580001,1580001,1640770,1640770,1701539,1701539,1762308,1762308,NO,sin_cambio_base
"VK916","Vinicolor Acrílico 125 C.C  Cipres",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK906","Vinicolor Acrílico 125 C.C  Castaño",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK900","Vinicolor Acrílico 125 C.C Champaña",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK803","Vinicolor Acrílico 125 C.C Uva",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK802","Vinicolor Acrílico 125 C.C Lila",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK801","Vinicolor Acrílico 125 C.C Morado",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK800","Vinicolor Acrílico 125 C.C Violeta",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK708","Vinicolor Acrílico 125 C.C Thai",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK707","Vinicolor Acrílico 125 C.C Pomarosa",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK706","Vinicolor Acrílico 125 C.C Palo De Rosa",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK705","Vinicolor Acrílico 125 C.C Curuba",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK704","Vinicolor Acrílico 125 C.C Melon",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK703","Vinicolor Acrílico 125 C.C  Mandarina Tropical",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK702","Vinicolor Acrílico 125 C.C Naranja Chic",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK701","Vinicolor Acrílico 125 C.C Naranja Tropical",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK700","Vinicolor Acrílico 125 C.C  Naranja",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK619","Vinicolor Acrílico 125 C.C Verde Tropical",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK617","Vinicolor Acrílico 125 C.C Verde Aceituna",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK616","Vinicolor Acrílico 125 C.C Verde Navidad",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK615","Vinicolor Acrílico 125 C.C Menta Fresca",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK611","Vinicolor Acrílico 125 C.C Verde Pino",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK609","Vinicolor Acrílico 125 C.C Verde Seda",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK608","Vinicolor Acrílico 125 C.C Verde Agua",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK607","Vinicolor Acrílico 125 C.C Verde Chartreuse",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK606","Vinicolor Acrílico 125 C.C Verde Cariñoso",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
"VK605","Vinicolor Acrílico 125 C.C Verde Ensueño",1769.2,1769,2300,2300,2388,2388,2477,2477,2565,2565,NO,actualizado
